organization,fiscal_year_label,fiscal_year,fiscal_year_is_partial,month_abbr,month_num,calendar_year,calendar_month_label,calendar_month_start,component,region,land_filter,location_name,location_type,drug_type,count_of_event,sum_qty_lbs,lat,lon,source_dataset,source_file
AMO,2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,0.93,48.7519,-122.4787,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
AMO,2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,2,0.0699999999999999,42.607,-82.836,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
AMO,2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marine Branch,Fentanyl,1,2.98,26.2034,-98.23,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
CBP,2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Field Office,Fentanyl,1,0.818135454282,41.8781,-87.6298,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Field Office,Fentanyl,1,0.10582188576,27.5036,-99.5075,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Field Office,Fentanyl,1,0.00551155655,34.0522,-118.2437,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Field Office,Fentanyl,1,0.000440924524,25.7617,-80.1918,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Field Office,Fentanyl,6,5.27786655228,40.7128,-74.006,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Field Office,Fentanyl,6,40.2233397019,32.7157,-117.1611,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,DEC,12,2018,2018-12,2018-12-01,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Field Office,Fentanyl,5,29.449128495698,32.2226,-110.9747,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,DEC,12,2018,2018-12,2018-12-01,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Sector,Fentanyl,1,0.0088,31.7619,-106.485,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
