fiscal_year_label,fiscal_year,fiscal_year_is_partial,month_abbr,month_num,calendar_year,calendar_month_label,calendar_month_start,component,region,land_filter,area_of_responsibility,aor_type,drug_type,count_of_event,sum_qty_lbs,source_file
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Field Office,Fentanyl,1,0.0881849048,nationwide-drugs-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Sector,Fentanyl,1,44.092,nationwide-drugs-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Sector,Fentanyl,2,16.973200000000002,nationwide-drugs-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Field Office,Fentanyl,1,0.0030203329894,nationwide-drugs-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Field Office,Fentanyl,6,0.092153225516,nationwide-drugs-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Field Office,Fentanyl,9,1.2878082572468,nationwide-drugs-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Field Office,Fentanyl,1,5.0265395736,nationwide-drugs-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Field Office,Fentanyl,10,142.77797473906,nationwide-drugs-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Field Office,Fentanyl,15,22.5974259474524,nationwide-drugs-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Field Office,Fentanyl,1,0.0035935348706,nationwide-drugs-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Sector,Fentanyl,1,0.0951,nationwide-drugs-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Sector,Fentanyl,1,2.2,nationwide-drugs-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Sector,Fentanyl,1,2.6786,nationwide-drugs-fy19-fy22.csv
2019,2019,false,FEB,2,2019,2019-02,2019-02-01,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Sector,Fentanyl,1,17.4825,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Field Office,Fentanyl,4,0.171850333229,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Field Office,Fentanyl,3,11.2986909275,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Field Office,Fentanyl,9,1.1594330820842,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Field Office,Fentanyl,1,0.1543235834,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Field Office,Fentanyl,1,8.157103694,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Field Office,Fentanyl,1,13.778891375,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Field Office,Fentanyl,5,0.03747858454,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Field Office,Fentanyl,13,183.645064246,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Field Office,Fentanyl,17,26.409593243277808,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Sector,Fentanyl,1,2.3148,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAR,3,2019,2019-03,2019-03-01,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Sector,Fentanyl,3,0.8907999999999999,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Field Office,Fentanyl,1,2.6235009178,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Field Office,Fentanyl,6,1.447996136816,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Field Office,Fentanyl,1,26.45547144,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Field Office,Fentanyl,3,0.5097087497439999,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Field Office,Fentanyl,7,0.01984160358,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Field Office,Fentanyl,1,31.195410073,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Field Office,Fentanyl,1,0.19621141318,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Field Office,Fentanyl,10,49.1004510973658,nationwide-drugs-fy19-fy22.csv
