Table 3. State Counts for Fentanyl and Fentanyl-Related Substances: 2021,,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related compounds submitted to laboratories from January 1, 2021, through December 31, 2021, and analyzed by March 31, 2022",,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,
Phenethyl 4-ANPP,0,0,0,1,0,0,0,0,0,0,0,0,,
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
Tetrahydrothiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
Valeryl fentanyl,1,1,0,2,1,0,0,2,0,0,0,0,,
"4-Carbomethoxy 4-ANPP=4-(phenylamino)-1-(2-phenylethyl)-4-piperidinecarboxylic acid, methyl ester",,,,,,,,,,,,,,
ANPP=4-anilino-N-phenethyl-4-piperidine,,,,,,,,,,,,,,
meta-Fluoro 4-ANPP=N-(3-fluorophenyl)-1-(2-phenylethyl)piperidin-4-amine,,,,,,,,,,,,,,
meta-Methyl 4-ANPP=N-(3-methylphenyl)-1-(2-phenylethyl)piperidin-4-amine,,,,,,,,,,,,,,
ortho-Fluoro 4-ANPP=N-(2-fluorophenyl)-1-(2-phenylethyl)piperidin-4-amine,,,,,,,,,,,,,,
para-Fluoro 4-ANPP=N-(4-fluorophenyl)-1-(2-phenylethyl)piperidin-4-amine,,,,,,,,,,,,,,
"Phenethyl 4-ANPP=N-phenyl-N,1-bis(2-phenylethyl)piperidin-4-amine",,,,,,,,,,,,,,
"Source: U.S. Drug Enforcement Administration, Diversion Control Division, National Forensic Laboratory Information System, 2021. Data generated: August 1, 2022.",,,,,,,,,,,,,,
"Suggested Citation: U.S. Drug Enforcement Administration, Diversion Control Division. (2022). Table 3. State counts for fentanyl and fentanyl-related substances: 2021. Retrieved from the NFLIS Publication page at https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
