Table 3. State Counts for Fentanyl and Fentanyl-Related Compounds: 2018,,,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related compounds submitted to laboratories from January 1, 2018, through December 31, 2018, and analyzed by March 31, 2019",,,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,,
4'-Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
4-Fluoroisobutyryl fentanyl,18,4,0,2,1,0,3,191,0,9,2,2,,,
4-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Acetyl-alpha-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Acetyl fentanyl,64,169,0,56,5,3,12,168,25,37,82,0,,,
Acryl fentanyl,0,11,0,5,0,0,0,1,1,1,9,0,,,
ANPP,89,0,0,38,9,0,28,3,3,2,7,0,,,
Benzyl furanyl fentanyl,0,0,0,0,1,0,0,0,0,2,0,0,,,
Benzylfentanyl,2,0,0,0,26,0,0,0,0,1,0,0,,,
beta-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Butyryl fentanyl,0,13,0,8,0,0,0,5,0,0,0,0,,,
Carfentanil,6,1,1,5,11,3,0,9,2,12,7,0,,,
cis-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Crotonyl fentanyl,0,1,0,0,0,0,0,0,0,0,0,0,,,
Cyclopropyl fentanyl,2,11,0,4,2,3,0,77,3,0,18,0,,,
Cyclopropyl/crotonyl Fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Despropionyl fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Despropionyl meta-fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Despropionyl ortho-methylfentanyl,0,0,0,0,2,0,0,0,0,0,0,0,,,
Despropionyl para-fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fentanyl,655,"1,308",3,"1,145",260,28,682,"2,684",288,564,580,26,,,
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,8,0,0,,,
Fluorobutyryl fentanyl ,0,1,0,2,0,0,0,0,0,32,0,0,,,
Fluorobutyryl/fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fluoroisobutyryl fentanyl,0,17,0,0,0,0,0,4,0,0,2,0,,,
Furanyl fentanyl,6,6,0,13,1,1,1,29,8,2,7,1,,,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,9,0,0,,,
Methoxyacetyl fentanyl,12,80,0,30,38,1,0,11,10,12,8,0,,,
Methoxybutyryl fentanyl,0,1,0,0,0,0,0,0,0,0,0,0,,,
Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Methyl cyclopropyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
N-Methyl norfentanyl,0,0,0,1,0,0,0,1,0,0,1,0,,,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
ortho-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
ortho-Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluoro benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluoro cyclopropyl benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
para-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,1,0,0,0,0,,,
para-Fluorofentanyl,0,0,0,0,0,0,0,0,1,0,0,0,,,
Phenyl fentanyl,0,0,0,0,5,2,0,0,3,0,0,0,,,
Sufentanil,0,0,0,0,0,0,0,0,0,0,0,0,,,
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
Valeryl fentanyl,9,1,0,0,2,0,0,2,0,0,0,0,,,
,,,,,,,,,,,,,,,
ANPP=4-anilino-N-phenethyl-4-piperidine,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Methodology: Additional details about the NFLIS data may be found in the Questions and Answers document at https://www.nflis.deadiversion.usdoj.gov/Resources/NFLISPublicResourceLibrary.aspx. ,,,,,,,,,,,,,,,
"Source: U.S. Drug Enforcement Administration, Diversion Control Division, National Forensic Laboratory Information System, 2018. Data generated: September 5, 2019.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Suggested Citation: U.S. Drug Enforcement Administration, Diversion Control Division. (2019). Table 3. State counts for fentanyl and fentanyl-related compounds: 2018. Retrieved from the NFLIS Public Resource Library at https://www.nflis.deadiversion.usdoj.gov/Resources/NFLISPublicResourceLibrary.aspx.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
