Table 3. State Counts for Fentanyl and Fentanyl-Related Compounds: 2020,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related compounds submitted to laboratories from January 1, 2020, through December 31, 2020, and analyzed by March 31, 2021",,,,,,,,,,,,,
,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,0
Fentanyl-related compound (unspecified),0,0,0,0,0,0,21,0,0,0,0,0,0
Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,19,0,0,0
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorofentanyl,0,0,0,1,73,0,4,1,0,34,0,0,41
Fluoroisobutyryl fentanyl,0,0,0,0,27,0,1,3,0,18,0,0,14
Furanyl benzyl fentanyl,0,0,0,0,1,0,2,3,0,0,0,0,2
Furanyl fentanyl,0,0,0,0,13,0,1,0,0,1,0,0,2
Methoxyacetyl fentanyl,0,0,0,0,2,0,2,2,0,5,0,0,2
Methyl acetyl fentanyl,0,0,0,0,1,0,0,0,0,3,0,0,0
N-Methyl norfentanyl,0,0,0,0,0,0,0,2,0,3,0,0,0
Norfentanyl,0,0,0,0,1,0,1,0,0,1,0,0,2
ortho-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0
para-Fluoro benzyl fentanyl,0,0,0,0,1,0,0,0,0,1,0,0,0
para-Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,3,0,0,0
para-Fluorobutyryl fentanyl,0,0,0,0,2,0,0,0,0,0,0,0,0
para-Fluorofentanyl,0,0,0,2,5,0,7,0,0,2,0,2,16
para-Fluoroisobutyryl fentanyl,0,0,0,0,5,0,0,1,0,5,0,0,3
Phenyl fentanyl,0,0,0,0,6,0,0,0,0,210,0,0,0
Sufentanil,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiofuranyl fentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,1
Valeryl fentanyl,0,0,1,8,30,0,3,9,0,206,0,0,48
Drug,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,
3-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
3-Furanyl fentanyl,0,0,0,0,0,0,0,0,0,2,0,0,
3-Methylfentanyl,0,0,0,0,0,0,0,9,0,0,0,0,
4?-Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,
Acetyl fentanyl,12,59,0,277,3,1,10,108,11,83,30,0,
Acetyl-alpha-methylfentanyl,0,0,0,0,0,0,0,1,0,0,0,0,
Acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
ANPP,2,1,2,744,90,0,183,91,38,64,39,1,
Benzylfentanyl,0,0,0,0,2,0,0,0,0,0,0,0,
Butyryl fentanyl,0,4,0,0,0,0,0,1,0,0,0,0,
Carfentanil,15,2,0,14,31,0,0,9,1,26,0,0,
cis-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
Cyclopropyl fentanyl,0,0,0,0,0,0,0,2,0,0,0,0,
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
Despropionyl fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
Despropionyl para-fluorofentanyl,0,0,0,4,0,0,0,0,0,0,0,0,
Fentanyl,549,"1,036",4,"3,685",888,52,615,"5,558","1,142","1,517",804,39,
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,1,0,0,
Fentanyl-related compound (unspecified),66,3,0,0,0,0,0,0,0,0,0,0,
Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,2,0,0,
