state_name,state_abbr,year,nflis_fentanyl_reports,nflis_related_reports_total,nflis_analog_reports,nflis_unique_compounds_detected,nflis_top_compound_1,nflis_top_compound_1_reports,nflis_top_compound_2,nflis_top_compound_2_reports,nflis_top_compound_3,nflis_top_compound_3_reports,nflis_top_analog_1,nflis_top_analog_1_reports,nflis_top_analog_2,nflis_top_analog_2_reports,nflis_top_analog_3,nflis_top_analog_3_reports,nflis_table3_source_file,nflis_source_url,dea_fpp_powder_seizures,dea_fpp_tablet_seizures,dea_fpp_avg_powder_purity_pct,dea_fpp_avg_tablet_potency_mg,dea_fpp_dominant_composition_notes,dea_fpp_source_url,dea_fpp_source_pub_date,dea_fpp_extraction_status,record_generated_utc
Colorado,CO,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Connecticut,CT,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
District of Columbia,DC,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Delaware,DE,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Florida,FL,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Georgia,GA,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Hawaii,HI,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Iowa,IA,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Idaho,ID,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Illinois,IL,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Indiana,IN,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Kansas,KS,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Kentucky,KY,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Louisiana,LA,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Massachusetts,MA,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Maryland,MD,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Maine,ME,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Michigan,MI,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Minnesota,MN,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Missouri,MO,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Mississippi,MS,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Montana,MT,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
North Carolina,NC,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
North Dakota,ND,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Nebraska,NE,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
New Hampshire,NH,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
New Jersey,NJ,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
New Mexico,NM,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Nevada,NV,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
New York,NY,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Ohio,OH,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Oklahoma,OK,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Oregon,OR,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Pennsylvania,PA,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Rhode Island,RI,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
South Carolina,SC,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
South Dakota,SD,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Tennessee,TN,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Texas,TX,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Utah,UT,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Virginia,VA,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Vermont,VT,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Washington,WA,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Wisconsin,WI,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
West Virginia,WV,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Wyoming,WY,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
