state_abbr,state_name,census_subregion,census_region,year,population,od_synth_latest_month_count_year,od_synth_latest_month_per100k_year,od_synth_year_sum_count,od_synth_year_sum_per100k,od_synth_year_end_12mo_count,od_synth_year_end_12mo_per100k,od_all_latest_month_count_year,od_all_latest_month_per100k_year,od_all_year_sum_count,od_all_year_sum_per100k,od_all_year_end_12mo_count,od_all_year_end_12mo_per100k,fentanyl_laws_total,fentanyl_laws_possession,fentanyl_laws_distribution_delivery,fentanyl_laws_exposing_others,fentanyl_laws_other,fentanyl_laws_sum_by_type,nflis_reports_year,nflis_unique_substances_year,nflis_unique_bases_year,cnx_recv_shipments_year,cnx_recv_quantity_kg_year,cnx_recv_value_usd_year,cnx_recv_unique_hs6_year,cnx_recv_chem_shipments_year,cnx_recv_chem_quantity_kg_year,cnx_recv_chem_value_usd_year,cnx_recv_chem_unique_chemicals_year,cnx_send_shipments_year,cnx_send_quantity_kg_year,cnx_send_value_usd_year,cnx_send_unique_hs6_year,cnx_send_chem_shipments_year,cnx_send_chem_quantity_kg_year,cnx_send_chem_value_usd_year,cnx_send_chem_unique_chemicals_year
NV,Nevada,Mountain,West,2015,2890845,3,0.103776,47,1.625822,36,1.245311,37.166667,1.285668,392,13.560049,446,15.428015,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,New York,Middle Atlantic,Northeast,2015,19795791,44.333333,0.223953,754,3.80889,532,2.68744,121,0.611241,1600,8.082526,1452,7.334893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,Ohio,East North Central,Midwest,2015,11613423,103.666667,0.892645,1511,13.010807,1244,10.711743,227.75,1.961093,2884,24.833333,2733,23.533113,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,Oklahoma,West South Central,South,2015,3911338,7.666667,0.196011,78.666667,2.011247,92,2.352136,35.583333,0.909748,496,12.681083,427,10.91698,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Oregon,Pacific,West,2015,4028977,2.75,0.068256,42.5,1.054858,33,0.819066,27.333333,0.678419,318,7.892822,328,8.141024,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Pennsylvania,Middle Atlantic,Northeast,2015,12802503,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,Rhode Island,New England,Northeast,2015,1056298,12,1.136043,142,13.443176,144,13.632517,22.333333,2.114302,240,22.720861,268,25.371628,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,South Carolina,South Atlantic,South,2015,4896146,12.75,0.260409,176.5,3.604876,153,3.124907,44.75,0.913984,552,11.274174,537,10.96781,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,South Dakota,West North Central,Midwest,2015,858469,,,,,,,3.416667,0.397995,18.666667,2.174414,27,3.145134,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,Tennessee,East South Central,South,2015,6600299,20.666667,0.313117,281,4.257383,248,3.757406,86.666667,1.313072,1013,15.34779,1040,15.756862,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,Texas,West South Central,South,2015,27469114,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Utah,Mountain,West,2015,2995919,5.25,0.175238,88.25,2.945674,63,2.102861,37.583333,1.254484,509,16.989778,451,15.053812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,Virginia,South Atlantic,South,2015,8382993,21.75,0.259454,531,6.334253,261,3.113446,66.833333,0.797249,1043,12.441857,802,9.566989,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,Vermont,New England,Northeast,2015,626042,2.75,0.439268,36.75,5.870213,33,5.271212,6.416667,1.024958,81,12.938429,77,12.299494,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,Washington,Pacific,West,2015,7170351,5.416667,0.075543,95,1.3249,65,0.906511,58.5,0.81586,701,9.776369,702,9.790316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
