state_abbr,state_name,year,hs6,goods_description,shipment_records,total_quantity_kg,total_value_usd
CA,California,2016,851680,RESISTENCIAS CALENTADORAS,4,12.0,1894.0479999999998
CA,California,2016,853641,SELENOIDE,1,1.0,94.355
CA,California,2016,853650,INTERRUPTOR,1,1.0,87.071
CA,California,2016,853650,INTERRUPTORES,1,10.0,671.304
CA,California,2016,901290,PARTES PARA MICROSCOPIO.(ORDEN 13),1,0.0,73.249
CA,California,2016,901580,CLINOMETRO PARA MEDIR ALTURAS,1,36.0,148.082
CA,California,2016,901580,MEDIDOR DE DISTANCIAS,1,36.0,975.479
CA,California,2016,901720,COMPAS,1,1.0,214.357
CA,California,2016,902519,TERMOMETROS PARA EL SUELO,2,85.0,756.3109999999999
CA,California,2016,902519,TERMOMETROS PARA SUELO,1,58.0,294.447
CA,California,2016,902580,ANALIZADOR DE HUMEDAD,1,49.0,1215.714
CA,California,2016,902580,DENCIOMETRO,1,36.0,116.471
CA,California,2016,902580,MEDIDORES DE HUMEDAD,2,116.0,3683.21
CA,California,2016,902580,MEDIDORES DE HUMEDAD CON BOMBA,1,58.0,573.643
CA,California,2016,902580,SENSOR DE TEMPARATURA,2,89.0,216.589
CA,California,2016,902590,PUNTAS PARA MEDIDOR DE HUMEDAD,1,40.0,760.134
CA,California,2016,902610,MEDIDOR DE FLUJO,1,102.0,504.4320000000001
CA,California,2016,902620,MEDIDOR DE PRESION,1,40.0,59.922
CA,California,2016,902780,AGITADOR PARA LABORATORIO NO HUMANOS,2,99.0,3658.661
CA,California,2016,902780,ANALIZADOR DE HUMEDAD NO HUMANOS,4,213.0,6694.895
CA,California,2016,902780,JUEGO DE REGULADOR DE VISCOSIDAD CON AGITADOR PARA LABORATORIO CON ACCESORIOS NO HUMANOS,1,25.0,1920.019
CA,California,2016,902780,MEDIDOR DE PH CON ACCESORIOS NO HUMANOS,1,58.0,619.967
CA,California,2016,902780,MEDIDOR DE PH NO HUMANOS,7,366.0,11169.807
CA,California,2016,902780,PLATO CALIENTE CON AGITADOR PARA LABORATORIO NO HUMANOS,1,49.0,1918.011
CA,California,2016,902780,PLATO MAGNETICO CON AGITADOR,1,102.0,2090.338
CA,California,2016,902780,REFRACTOMETROS NO HUMANOS,3,187.0,3027.0139999999997
CA,California,2016,902780,TRANSLUMINADOR PARA LABORATORIO NO HUMANOS,1,56.0,1145.673
CA,California,2016,903180,AMPLIFICADOR DE DECIMALES PARA CORTEZA DE ARBOLES,1,36.0,117.343
CA,California,2016,903210,PANEL DE CONTROL PARA BASCULA,1,58.0,150.411
CA,California,2016,903300,CAJA DE METAL PARA AGITADOR,1,3.0,283.35
CA,California,2016,903300,ELECTRODO PARA MEDIDOR DE PH NO HUMANOS,1,1.0,280.616
CA,California,2016,903300,ELECTRODO PARA PH,1,3.0,126.009
